6,Planning for the quality management system,NA,6.1.2,Actions to address risks and opportunities,"The organization shall plan:

a) actions to address these risks and opportunities;
b.1) integrate and implement the actions into its quality management system processes (see 4.4);
b.2) evaluate the effectiveness of these actions.

Actions taken to address risks and opportunities shall be proportionate to the potential impact on the conformity of products and services.",NA
6,Planning for the quality management system,NA,6.2.1,Quality objectives and planning to achieve them,"The organization shall establish quality objectives at relevant functions; levels and processes. The quality objectives shall:

a) be consistent with the quality policy;
b) be measurable;
c) take into account applicable requirements;
d) be relevant to conformity of products and services and the enhancement of customer satisfaction; 
e) be monitored;
f) be communicated;
g) be updated as appropriate.
organization shall retain documented information on the quality objectives.

The organization shall retain documented information on the quality objectives.",NA
6,Planning for the quality management system,NA,6.2.2,Quality objectives and planning to achieve them,"When planning how to achieve its quality objectives; the organization shall determine:

a) what will be done;
b) what resources will be required; 
c) who will be responsible;
d) when it will be completed;
e) how the results will be evaluated",NA
6,Planning for the quality management system,NA,6.3,Planning of changes,"Where the organization determines the need for change to the quality management system (see 4.4) the change shall be carried out in a planned and systematic manner.

The organization shall consider:
a) the purpose of the change and any of its potential consequences; 
b) the integrity of the quality management system;
c) the availability of resources;
d) the allocation or reallocation of responsibilities and authorities.
",NA
7,Support - Resources,NA,7.1.1,Support - General,"The organization shall determine and provide the resources needed for the establishment; implementation; maintenance and continual improvement of the quality management system. The organization shall consider: 

a) the capabilities of; and constraints on; existing internal resources; 
b) what needs to be obtained from external providers",NA
7,Support - Resources,NA,7.1.2,Support - People,To ensure that the organization can consistently meet customer and applicable statutory and regulatory requirements; the organization shall provide the persons necessary for the effective operation of the quality management system; including the processes needed.,NA
7,Support - Resources,NA,7.1.3,Support - Infrastructure,"The organization shall determine; provide and maintain the infrastructure for the operation of its processes to achieve conformity of products and services. 

NOTE Infrastructure can include: 

a) buildings and associated utilities; 
b) equipment including hardware and software; 
c) transportation; 
d) information and communication technology.",NA
7,Support - Resources,NA,7.1.4,Environment for the operation of processes,"The organization shall determine; provide and maintain the environment necessary for the operation of its processes and to achieve conformity of products and services. 

NOTE Environment for the operation of processes can include physical; social; psychological; environmental and other factors (such as temperature; humidity; ergonomics and cleanliness)",NA
7,Support - Resources,NA,7.1.5,Monitoring and measuring resources,"Where monitoring or measuring is used for evidence of conformity of products and services to specified requirements the organization shall determine the resources needed to ensure valid and reliable monitoring and measuring results. The organization shall ensure that the resources provided: 

a) are suitable for the specific type of monitoring and measurement activities being undertaken; 
b) are maintained to ensure their continued fitness for their purpose. 

The organization shall retain appropriate documented information as evidence of fitness for purpose of monitoring and measurement resources.

Where measurement traceability is: a statutory or regulatory requirement; a customer or relevant interested party expectation; or considered by the organization to be an essential part of providing confidence in the validity of measurement results; measuring instruments shall be: 

- verified or calibrated at specified intervals or prior to use against measurement standards traceable to international or national measurement standards. Where no such standards exist; the basis used for calibration or verification shall be retained as documented information;
- identified in order to determine their calibration status;
- safeguarded from adjustments; damage or deterioration that would invalidate the calibration status and subsequent measurement results. 

The organization shall determine if the validity of previous measurement results has been adversely affected when an instrument is found to be defective during its planned verification or calibration; or during its use; and take appropriate corrective action as necessary.",NA
7,Support - Resources,NA,7.1.6,Organizational knowledge,"The organization shall determine the knowledge necessary for the operation of its processes and to achieve conformity of products and services. This knowledge shall be maintained; and made available to the extent necessary. When addressing changing needs and trends; the organization shall consider its current knowledge and determine how to acquire or access the necessary additional knowledge. 

NOTE 1 Organizational knowledge can include information such as intellectual property and lessons learned. 
NOTE 2 To obtain the knowledge required; the organization can consider:",NA
7,Support - Resources,NA,7.2,Competence,"The organization shall:

a) determine the necessary competence of persons doing work under its control that affects its quality performance;
b) ensure that these persons are competent on the basis of appropriate education; training; or experience;
c) where applicable; take actions to acquire the necessary competence; and evaluate the effectiveness of the actions taken;
d) retain appropriate documented information as evidence of competence",NA
7,Support - Resources,NA,7.3,Awareness,"Persons doing work under the organization's control shall be aware of:

a) the quality policy;
b) relevant quality objectives;
c) their contribution to the effectiveness of the quality management system; including the benefits of improved quality performance;
d) the implications of not conforming with the quality management system requirements",NA
7,Support - Resources,NA,7.4,Communication,"The organization shall determine the internal and external communications relevant to the quality management system including:

a) Documented information
b) General
on what it will communicate; 
c) when to communicate;
d) with whom to communicate; 
e) how to communicate ",NA
7,Support - Resources,NA,7.5.1,General,"The organization's quality management system shall include 
a) documented information required by this International Standard;
b) documented information determined by the organization as being necessary for the effectiveness of the quality management system.",NA
7,Support - Resources,NA,7.5.2,Creating and updating,"When creating and updating documented information the organization shall ensure appropriate: 
a) identification and description (e.g. a title; date; author; or reference number);
b) format (e.g. language; software version; graphics) and media (e.g. paper; electronic); 
c) review and approval for suitability and adequacy.",NA
7,Support - Resources,NA,7.5.3.1,Control of documented Information,"Documented information required by the quality management system and by this International Standard shall be controlled to ensure: 
a) it is available and suitable for use; where and when it is needed;
b) it is adequately protected (e.g. from loss of confidentiality; improper use; or loss of integrity)",NA
7,Support - Resources,NA,7.5.3.2,Control of documented Information,"For the control of documented information; the organization shall address the following activities; as applicable:
a) distribution; access; retrieval and use;
b) storage and preservation; including preservation of legibility; 
c) control of changes (e.g. version control);
d) retention and disposition.",NA
8,Operation,NA,8.1,Operational planning and control,"The organization shall plan; implement and control the processes; as outlined in 4.4; needed to meet requirements for the provision of products and services and to implement the actions determined in 6.1; by:

a) determining requirements for the product and services;
establishing criteria for the processes and for the acceptance of products and services; 
b) determining the resources needed to achieve conformity to product and service requirements; 
c) implementing control of the processes in accordance with the criteria;
d) retaining documented information to the extent necessary to have confidence that the processes have been carried out as planned and to demonstrate conformity of products and services to requirements",NA
8,Operation,NA,8.2.1,Determination of requirements for products and services,"The organization shall establish the processes for communicating with customers in relation to: 

a) information relating to products and services; 
b) enquiries; contracts or order handling; including changes; 
c) obtaining customer views and perceptions; including customer complaints; 
d) the handling or treatment of customer property; if applicable",NA
8,Operation,NA,8.2.2,Determination of requirements related to products and services,"The organization shall establish; implement and maintain a process to determine the requirements for the products and services to be offered to potential customers.

The organization shall ensure that: 
a) product and service requirements (including those considered necessary by the organisation); 
b) it has the ability to meet the defined requirements and substantiate the claims for the products and services it offers",NA
8,Operation,NA,8.2.3,Review of requirements related to products and services,"The organization shall review; as applicable:

a) requirements specified by the customer; including the requirements for delivery and post-delivery activities
b) requirements not stated by the customer; but necessary for the customers specified or intended use; when known
c) additional statutory and regulatory requirements applicable to the products and services
d) contract or order requirements differing from those previously expressed

This review shall be conducted prior to the organization's commitment to supply products and services to the customer and shall ensure contract or order requirements differing from those previously defined are resolved. Where the customer does not provide a documented statement of their requirements; the customer requirements shall be confirmed by the organization before acceptance. Documented information describing the results of the review; including any new or changed requirements for the products and services; shall be retained. Where requirements for products and services are changed; the organization shall ensure that relevant documented information is amended and that relevant personnel are made aware of the changed requirements.",NA
8,Operation,NA,8.3.1,Design and development of products and services - General,,NA
8,Operation,NA,8.3.2,Design and development planning,"In determining the stages and controls for design and development; the organization shall consider: 

a) the nature; duration and complexity of the design and development activities;
b) requirements that specify particular process stages; including applicable design and development reviews;
c) the required design and development verification and validation;
d) the responsibilities and authorities involved in the design and development process;
e) the need to control interfaces between individuals and parties involved in the design and development process;
f) the need for involvement of customer and user groups in the design and development process;
g) the necessary documented information to confirm that design and development requirements have been met.",NA
8,Operation,NA,8.3.3,Design and development Inputs,"The organization shall determine:

a) requirements essential for the specific type of products and services being designed and developed; including; as applicable; functional and performance requirements;
b) applicable statutory and regulatory requirements;
c) standards or codes of practice that the organization has committed to implement;
d) internal and external resource needs for the design and development of products and services;
e) the potential consequences of failure due to the nature of the products and services;
f) the level of control expected of the design and development process by customers and other relevant interested parties.

Inputs shall be adequate for design and development purposes; complete; and unambiguous. Conflicts among inputs shall be resolved.",NA
8,Operation,NA,8.3.4,Design and development controls,"The controls applied to the design and development process shall ensure that:
a) the results to be achieved by the design and development activities are clearly defined;
b) design and development reviews are conducted as planned;
c) verification is conducted to ensure that the design and development outputs have met the design and development input requirements;
d) validation is conducted to ensure that the resulting products and services are capable of meeting the requirements for the specified application or intended use (when known).",NA
8,Operation,NA,8.3.5,Design and development outputs,"The organization shall ensure that design and development outputs:
a) meet the input requirements for design and development;
b) are adequate for the subsequent processes for the provision of products and services;
d) include or reference monitoring and measuring requirements; and acceptance criteria; as applicable;
e) ensure products to be produced; or services to be provided; are fit for intended purpose and their safe and proper use.",NA
8,Operation,NA,8.3.6,Design and development changes,The organization shall review; control and identify changes made to design inputs and design outputs during the design and development of products and services or subsequently; to the extent that there is no adverse impact on conformity to requirements.,NA
8,Operation,NA,8.4.1,Control of externally provided products and services - General,"The organization shall ensure that externally provided processes; products; and services conform to specified requirements. The organization shall apply the specified requirements for the control of externally provided products and services when:

a) products and services are provided by external providers for incorporation into the organization's own products and services;
b) products and services are provided directly to the customers by external providers on behalf of the organization;
c) a process or part of a process is provided by an external provider as a result of a decision by the organization to outsource a process or function.

The organization shall establish and apply criteria for the evaluation; selection; monitoring of performance and re-evaluation of external providers based on their ability to provide processes or products and services in accordance with specified requirements. The organization shall retain appropriate documented information of the results of the evaluations; monitoring of the performance and re-evaluations of the external providers.",NA
8,Operation,NA,8.4.2,Type and extent of control of external provision,"In determining the type and extent of controls to be applied to the external provision of processes; products and services; the organisation shall take into consideration:

a) the potential impact of the externally provided processes; products and services on the organization's ability to consistently meet customer and applicable statutory and regulatory requirements;
b) the perceived effectiveness of the controls applied by the external provider. 

The organization shall establish and implement verification or other activities necessary to ensure the externally provided processes; products and services do not adversely affect the organisations ability to consistently deliver conforming products and services to its customers. Processes or functions of the organization which have been outsourced to an external provider remain within the scope of the organization's quality management system; accordingly; the organization shall consider a) and b) above and define both the controls it intends to apply to the external provider and
1344 those it intends to apply to the resulting process output.",NA
8,Operation,NA,8.4.3,Information for external providers,"The organization shall communicate to external providers applicable requirements for the following: 

a) the products and services to be provided or the processes to be performed on behalf of the organization;
b) approval or release of products and services; methods; processes or equipment;
c) competence of personnel; including necessary qualification;
d) their interactions with the organizations quality management system;
e) the control and monitoring of the external provider's performance to be applied by the organization;
f) verification activities that the organization; or its customer; intends to perform at the external provider's premises. 

The organization shall ensure the adequacy of specified requirements prior to their communication to the external provider.",NA
8,Operation,NA,8.5.1,Control of production and service provision,"The organization shall implement controlled conditions for production and service provision; including delivery and post-delivery activities. Controlled conditions shall include; as applicable: 

a) the availability of documented information that defines the characteristics of the products and services;
b) the availability of documented information that defines the activities to be performed and the results to be achieved;
c) monitoring and measurement activities at appropriate stages to verify that criteria for control of processes and process outputs; and acceptance criteria for products and services; have been met.
d) the use; and control of suitable infrastructure and process environment; 
e) the availability and use of suitable monitoring and measuring resources;
f) the competence and; where applicable; required qualification of persons;
g) the validation; and periodic revalidation; of the ability to achieve planned results of any process for production and service provision where the resulting output cannot be verified by subsequent monitoring or measurement;
h) the implementation of products and services release; delivery and post-delivery activities",NA
8,Operation,NA,8.5.2,Identification and traceability,"Where necessary to ensure conformity of products and services; the organization shall use suitable  means to identify process outputs.  The organization shall identify the status of process outputs with respect to monitoring and measurement requirements throughout production and service provision. Where traceability is a requirement; the organization shall control the unique identification of the  process outputs; and retain any documented information necessary to maintain traceability.

 NOTE Process outputs are the results of any activities which are ready for delivery to the organization's  customer or to an internal customer (e.g. receiver of the inputs to the next process); they can include products; services; intermediate parts; components; etc.",NA
8,Operation,NA,8.5.3,Property belonging to customers or external providers,"The organization shall exercise care with property belonging to the customer or external providers while it is under the organizations control or being used by the organization. The organization shall identify; verify; protect and safeguard the customer's or external provider's property provided for use or incorporation into the products and services. When property of the customer or external provider is incorrectly used; lost; damaged or otherwise found to be unsuitable for use; the organization shall report this to the customer or external provider.

 NOTE Customer property can include material; components; tools and equipment; customer premises; intellectual property and personal data.",NA
8,Operation,NA,8.5.4,Preservation,"The organization shall ensure preservation of process outputs during production and service provision; to the extent necessary to maintain conformity to requirements. 

NOTE Preservation can include identification; handling; packaging; storage; transmission or transportation; and protection.",NA
8,Operation,NA,8.5.5,Post-delivery activities,"As applicable; the organization shall meet requirements for post-delivery activities associated with the products and services. In determining the extent of post-delivery activities that are required; the organisation shall consider:

a) the risks associated with the products and services;
b) the nature; use and intended lifetime of the products and services; 
c) customer feedback;
d) statutory and regulatory requirements.",NA
8,Operation,NA,8.5.6,Control of changes,The organization shall review and control unplanned changes essential for production or service provision to the extent necessary to ensure continuing conformity with specified requirements. The organization shall retain documented information describing the results of the review of changes; the personnel authorizing the change; and any necessary actions.,NA
8,Operation,NA,8.6,Release of products and services,The organization shall implement the planned arrangements at appropriate stages to verify that product and service requirements have been met. Evidence of conformity with the acceptance criteria shall be retained. The release of products and services to the customer shall not proceed until the planned arrangements for verification of conformity have been satisfactorily completed; unless otherwise approved by a relevant authority and; as applicable; by the customer. Documented information shall provide traceability to the persons authorizing release of products and services for delivery to the customer.,NA
8,Operation,NA,8.7,Control of nonconforming process outputs; products and services,"The organization shall ensure process outputs; products and services that do not conform to requirements are identified and controlled to prevent their unintended use or delivery. The organization shall take appropriate corrective action based on the nature of the nonconformity and its impact on the conformity of products and services. This applies also to nonconforming products and services detected after delivery of the products or during the provision of the service.

As applicable; the organization shall deal with nonconforming process outputs; products and services one or more of the following ways:

a) correction;
b) segregation; containment; return or suspension of provision of products and services; informing the customer;
c) obtaining authorization for:
- use 'as-is';
- release; continuation or re-provision of the products and services;
- acceptance under concession.

Where nonconforming process outputs; products and services are corrected; conformity to the requirements shall be verified. The organization shall retain documented information of actions taken on nonconforming process outputs; products and services; including on any concessions obtained and on the person or authority that made the decision regarding dealing with the nonconformity.",NA
9,Performance evaluation,NA,9.1.1,Monitoring; measurement; analysis and evaluation - General,"The organization shall determine:

a) what needs to be monitored and measured;
b) the methods for monitoring; measurement; analysis and evaluation; as applicable; to ensure valid results;
c) when the monitoring and measuring shall be performed;
d) when the results from monitoring and measurement shall be analysed and evaluated organization shall ensure that monitoring and measurement activities are implemented in. 

The accordance with the determined requirements and shall retain appropriate documented information as evidence of the results. The organization shall evaluate the quality performance and the effectiveness of the quality management system",NA
9,Performance evaluation,NA,9.1.2,Customer satisfaction,The organization shall monitor customer perceptions of the degree to which requirements have been met. The organization shall obtain information relating to customer views and opinions of the organisation and its products and services. The methods for obtaining and using this information shall be determined.,NA
9,Performance evaluation,NA,9.1.3,Analysis and evaluation,"The organization shall analyse and evaluate appropriate data and information arising from monitoring; measurement and other sources.The
output of analysis and evaluation shall be used to:

a) demonstrate conformity of products and services to requirements;
b) assess and enhance customer satisfaction;
c) ensure conformity and effectiveness of the quality management system;
d) demonstrate that planning has been successfully implemented;
f) assess the performance of processes;
g) assess the performance of external providers;
h) determine the need or opportunities for improvements within the quality management system. 

The results of analysis and evaluation shall also be used to provide inputs to management review.",NA
9,Performance evaluation,NA,9.2.1,Internal audit,"The organization shall conduct internal audits at planned intervals to provide information on whether the quality management system;

a) he organization's own requirements for its quality management system
b) the requirements of this International Standard;
c) is effectively implemented and maintained",NA
9,Performance evaluation,NA,9.2.2,Internal audit,"a) plan; establish; implement and maintain an audit programmes including the frequency; methods; responsibilities; planning requirements and reporting; which shall take into consideration the quality objectives; the importance of the processes concerned; customer feedback; changes impacting on the organisation; and the results of previous audits;
b) define the audit criteria and scope for each audit;
c) select auditors and conduct audits to ensure objectivity and the impartiality of the audit process;
d) ensure that the results of the audits are reported to relevant management;
e) take necessary correction and corrective actions without undue delay
f) retain documented information as evidence of the implementation of the audit programme and the audit results",NA
9,Performance evaluation,NA,9.3.1,Management review,"Top management shall review the organizations quality management system; at planned intervals; to ensure its continuing suitability; adequacy; and effectiveness.

The management review shall be planned and carried out taking into consideration:
a) the status of actions from previous management reviews;
changes in external and internal issues that are relevant to the quality management system
including its strategic direction;
b) information on the quality performance; including trends and indicators for:
1) nonconformities and corrective actions;
2) monitoring and measurement results;
3) audit results;
4) customer satisfaction;
5) issues concerning external providers and other relevant interested parties;
6) adequacy of resources required for maintaining an effective quality management system
7) process performance and conformity of products and services;
c) the effectiveness of actions taken to address risks and opportunities (see clause 6.1); 
d) new potential opportunities for continual improvement.",NA
9,Performance evaluation,NA,9.3.2,Management review,"The outputs of the management review shall include decisions and actions related to:
a) continual improvement opportunities; 
b) any need for changes to the quality management system; including resource needs. 

The organization shall retain documented information as evidence of the results of management reviews",NA
10,Improvement,NA,10.1,Improvement - General,"The organization shall determine and select opportunities for improvement and implement necessary actions to meet customer requirements and enhance customer satisfaction. This shall include; as appropriate:
a) improving processes to prevent nonconformities;
b) improving products and services to meet known and predicted requirements; 
c) improving quality management system results",NA
10,Improvement,NA,10.2.1,Nonconformity and corrective action,"When a nonconformity occurs; including those arising from complaints; the organization shall:

a) react to the nonconformity; and as applicable:
1) take action to control and correct it;
2) deal with the consequences;

b) evaluate the need for action to eliminate the causes of the nonconformity; in order that it does not recur or occur elsewhere; by:
1) reviewing the nonconformity;
2) determining the causes of the nonconformity;
3) determining if similar nonconformities exist; or could potentially occur;

c) implement any action needed;
d) review the effectiveness of any corrective action taken;
e) make changes to the quality management system; if necessary.",NA
10,Improvement,NA,10.2.2,Nonconformity and corrective action,"The organization shall retain documented information as evidence of: 

a) the nature of the nonconformities and any subsequent actions taken;
b) the results of any corrective action.",NA
10,Improvement,NA,10.3,Continual improvement,The organization shall continually improve the suitability; adequacy; and effectiveness of the quality management system. The organization shall consider the outputs of analysis and evaluation; and the outputs from management review; to confirm if there are areas of underperformance or opportunities that shall be addressed as part of continual improvement. Where applicable; the organization shall select and utilise applicable tools and methodologies for investigation of the causes of underperformance and for supporting continual improvement,NA
